date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:12:07	2284/2284	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Dec%202024%2001:12:08%20GMT	https://sandtris.com/robots.txt		(from )
20:12:08	8433/8433	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Dec%202024%2001:12:08%20GMT	https://sandtris.com/	C:/My%20Web%20Sites/sandtris/sandtris.com/index.html	(from )
20:12:08	3984128/3984128	---M-Z	200	added ('OK')	application/javascript	etag:%2263f66832-a1f96%22	https://cdnjs.cloudflare.com/ajax/libs/p5.js/1.6.0/p5.js	C:/My%20Web%20Sites/sandtris/cdnjs.cloudflare.com/ajax/libs/p5.js/1.6.0/p5.js	(from https://sandtris.com/)
20:12:12	200064/200064	---M-Z	200	added ('OK')	application/javascript	etag:%2263f66832-9953%22	https://cdnjs.cloudflare.com/ajax/libs/p5.js/1.6.0/addons/p5.sound.min.js	C:/My%20Web%20Sites/sandtris/cdnjs.cloudflare.com/ajax/libs/p5.js/1.6.0/addons/p5.sound.min.js	(from https://sandtris.com/)
20:12:12	26189/26189	---MCZ	200	added ('OK')	application/javascript	etag:W/%226fe721c8e8ec8da1f213d3e0e2fbdb6b%22	https://sandtris.com/sketch.js	C:/My%20Web%20Sites/sandtris/sandtris.com/sketch.js	(from https://sandtris.com/)
20:12:12	581/581	---M--	200	added ('OK')	image/png	etag:%22b504f05f7613080944270945c68d8206%22	https://sandtris.com/favicon.png	C:/My%20Web%20Sites/sandtris/sandtris.com/favicon.png	(from https://sandtris.com/)
20:12:12	5425/5425	---MCZ	200	added ('OK')	text/css	etag:W/%221a2c79d2b5f5c064255f4241c6e55fc9%22	https://sandtris.com/style.css	C:/My%20Web%20Sites/sandtris/sandtris.com/style.css	(from https://sandtris.com/)
20:12:13	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/sandtris/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://sandtris.com/)
20:12:13	190918/190918	---M--	200	added ('OK')	text/javascript	etag:2969106763031723238	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-9200311124038960	C:/My%20Web%20Sites/sandtris/pagead2.googlesyndication.com/pagead/js/feaf4.txt	(from https://sandtris.com/)
20:12:13	9108/9108	---MCZ	200	added ('OK')	font/ttf	etag:W/%22831755428940d0a67e1fb5a89be16f17%22	https://sandtris.com/fonts/retroFont.ttf	C:/My%20Web%20Sites/sandtris/sandtris.com/fonts/retroFont.ttf	(from https://sandtris.com/style.css)
